image_path,mask_path,filename,label,group_id,split,sha256_cropped_image,foreground_pixels_model_grid,foreground_pixels_removed_by_crop
data/raw/data/images/2661734b21874fdf9e35a4319a9e7462.jpg,data/raw/data/masks/2661734b21874fdf9e35a4319a9e7462.png,2661734b21874fdf9e35a4319a9e7462,6,0,test,27e31d5b59e0daf96df0a684b4856f7ef4fcd7f50cbe33df2402a8a561bc7f75,0,0
data/raw/data/images/0c8af9b8e62f4cb498392e806236e5e0.jpg,data/raw/data/masks/0c8af9b8e62f4cb498392e806236e5e0.png,0c8af9b8e62f4cb498392e806236e5e0,6,1,train,15ec8395901ade736f518f5d87bbca225a7142a2b9e24c813c10874a62126be2,0,0
data/raw/data/images/ecb33a23f90b47fe8ee1dfe3e4d5f0df.jpg,data/raw/data/masks/ecb33a23f90b47fe8ee1dfe3e4d5f0df.png,ecb33a23f90b47fe8ee1dfe3e4d5f0df,6,2,train,58fb19f76bfa0c6f8e0281035c83206ed10cbc4ff57a5694ce7460223ac2ac29,0,0
data/raw/data/images/adc88a3f9fb34ae79142ba9f12a6f1e1.jpg,data/raw/data/masks/adc88a3f9fb34ae79142ba9f12a6f1e1.png,adc88a3f9fb34ae79142ba9f12a6f1e1,6,3,train,6c7aea3df20c7fee3ad93ce32db8b8749d3077a4ed36e84ff91ec2ec219c2fc0,0,0
data/raw/data/images/bc228459f662459f80fbce99bedd9d20.jpg,data/raw/data/masks/bc228459f662459f80fbce99bedd9d20.png,bc228459f662459f80fbce99bedd9d20,6,4,test,9276c8390ef467c3f596e50a4214b60a4d4aace7a1b657d4d30c12b0f067cfa4,0,0
data/raw/data/images/2f33d7aaa7684ad9a96e21845c8c7126.jpg,data/raw/data/masks/2f33d7aaa7684ad9a96e21845c8c7126.png,2f33d7aaa7684ad9a96e21845c8c7126,6,5,train,36e7bf5782942e25699abfcf78e12ae66cd08dabc26d80e89ef36c3ecd4c1a49,0,0
data/raw/data/images/61b90b63dcb9479c9a7064c07a4d6645.jpg,data/raw/data/masks/61b90b63dcb9479c9a7064c07a4d6645.png,61b90b63dcb9479c9a7064c07a4d6645,6,6,train,9a5e4fa3cec04724b40d9dadca8f96237fd5cc824d3e3a4c296f75f28d32474f,0,0
data/raw/data/images/a6805b35d09d4b1ea3f0b1b51de6e32e.jpg,data/raw/data/masks/a6805b35d09d4b1ea3f0b1b51de6e32e.png,a6805b35d09d4b1ea3f0b1b51de6e32e,6,7,train,55708cc6ae7cd9c0ab039db4791da656d5e2056aa34af326535be379c1156632,0,0
data/raw/data/images/518889521019455a857729f9f1b9ab7e.jpg,data/raw/data/masks/518889521019455a857729f9f1b9ab7e.png,518889521019455a857729f9f1b9ab7e,6,8,train,a707919846915be112a92af1b7dd12b0fedcc29eb7ca8738509d9c7c831a1aa4,0,0
data/raw/data/images/02e7fc0869664405961d6183c9650c09.jpg,data/raw/data/masks/02e7fc0869664405961d6183c9650c09.png,02e7fc0869664405961d6183c9650c09,6,9,validation,43b9a0de4a6c119c86311f4cb11a97a73011265b5cd90b2d85966233d764c54b,0,0
data/raw/data/images/c3ad636657c341e0bf1dc79329a2f37f.jpg,data/raw/data/masks/c3ad636657c341e0bf1dc79329a2f37f.png,c3ad636657c341e0bf1dc79329a2f37f,6,10,train,a78411ae1fd5ac2ea9b77d892b3a979f7b1c4c0344cd851e76579a67aee1d793,0,0
data/raw/data/images/97d9007f618b4df8ab0f55148ecc44d1.jpg,data/raw/data/masks/97d9007f618b4df8ab0f55148ecc44d1.png,97d9007f618b4df8ab0f55148ecc44d1,6,11,train,348f39ddc4ac71f2170551035c86bc4c9a5f283582829e12b6e923f303f2468c,0,0
data/raw/data/images/c8b405b8b87347d68f60fd37ac6a09c7.jpg,data/raw/data/masks/c8b405b8b87347d68f60fd37ac6a09c7.png,c8b405b8b87347d68f60fd37ac6a09c7,6,12,train,1af41e455d9ed12d872505087874ccee98cb7970233fb774a43b8e203d582875,0,0
data/raw/data/images/7787cd8a9a0d4aeeb242234207b7ea3b.jpg,data/raw/data/masks/7787cd8a9a0d4aeeb242234207b7ea3b.png,7787cd8a9a0d4aeeb242234207b7ea3b,6,13,train,d691ae3ed1f3c7c21cb27c214b42fc74c49e720dc9274ffb45bd813b8a06a1d3,0,0
data/raw/data/images/a3ee280613e14c5a9b154f4d5e4eb529.jpg,data/raw/data/masks/a3ee280613e14c5a9b154f4d5e4eb529.png,a3ee280613e14c5a9b154f4d5e4eb529,6,14,train,352a4985c38b1194f01ccfbc12431569193de892bcbd536b0f326f0bb225ac0b,0,0
data/raw/data/images/5f8b5a183ed3492cb81d3734cd47c29c.jpg,data/raw/data/masks/5f8b5a183ed3492cb81d3734cd47c29c.png,5f8b5a183ed3492cb81d3734cd47c29c,6,15,train,3490ef6a1ca4a7a3227d7f3f07aa9fafcb190d16b2801227c219f6faaf802053,0,0
data/raw/data/images/c4741969737e4dca92334649d1fe33e9.jpg,data/raw/data/masks/c4741969737e4dca92334649d1fe33e9.png,c4741969737e4dca92334649d1fe33e9,6,16,test,eae17e98a52b8480afde181dee4cd25018aa3c238cf7f6c14707fa2fd1bd5be8,0,0
data/raw/data/images/ea0ccf9087aa4cd8995288cc0ab6d2ba.jpg,data/raw/data/masks/ea0ccf9087aa4cd8995288cc0ab6d2ba.png,ea0ccf9087aa4cd8995288cc0ab6d2ba,6,17,test,f02f7ed6a93ea83a55560f90ec49cf37ef1946412ae5baadf431b8d6a7faab70,0,0
data/raw/data/images/c0f92babdecf4146a78a702be6ff5506.jpg,data/raw/data/masks/c0f92babdecf4146a78a702be6ff5506.png,c0f92babdecf4146a78a702be6ff5506,6,18,train,b0e628dbce8e969474e41b01ee1f6475b240179e695c65874f4cb993238baa32,0,0
data/raw/data/images/768694b934864218b8f8b706084e6bdf.jpg,data/raw/data/masks/768694b934864218b8f8b706084e6bdf.png,768694b934864218b8f8b706084e6bdf,6,19,train,702c0a3c87fedb57732a94676d8f8244cb61e857ab3ebe8f0c60bfa81e77b862,0,0
data/raw/data/images/27178f1195704f789f5a6679413297f9.jpg,data/raw/data/masks/27178f1195704f789f5a6679413297f9.png,27178f1195704f789f5a6679413297f9,6,20,validation,c6d7b48e0f88844b20f95be5aa7a8787d4681d716aed035896220580a07c5ec8,0,0
data/raw/data/images/12359f9dbf1347f6bf42e2eb6e9823d1.jpg,data/raw/data/masks/12359f9dbf1347f6bf42e2eb6e9823d1.png,12359f9dbf1347f6bf42e2eb6e9823d1,6,21,test,bbe7124e902e96cc8442ca9df6c48c7337b0c17db3c9599b787a592cbe254ffc,0,0
data/raw/data/images/e43cce40f446493dab61d3ff30b17fbc.jpg,data/raw/data/masks/e43cce40f446493dab61d3ff30b17fbc.png,e43cce40f446493dab61d3ff30b17fbc,6,22,train,d30ec841d0a15ac5d55a45a34cd0809a948d2f172d4467a553f74b97082ec911,0,0
data/raw/data/images/19cdf32e6b4d4ec183c261e637a318b3.jpg,data/raw/data/masks/19cdf32e6b4d4ec183c261e637a318b3.png,19cdf32e6b4d4ec183c261e637a318b3,6,23,test,99ddbbe4cfd9464e8b6be731ad0fdfb29d63265d3ee311d4973e2b354c0199cd,0,0
data/raw/data/images/bae89a7543b14dcc97ff1f860893a6fa.jpg,data/raw/data/masks/bae89a7543b14dcc97ff1f860893a6fa.png,bae89a7543b14dcc97ff1f860893a6fa,6,24,train,b6c3ad790657a89263661a036fec498714b3ef7fc1a8ecc24887c1089f19e59b,0,0
